Data;Descrição;Tipo;Valor;;;;;Data;Descrição;Fornecedor;Valor
30/12/2021;NFC-e 201896 - Armazem Coral - Terreno Graças ;CONSTRUÇÃO MATERIAL;404,2;;;;;;;;
30/12/2021;Custo RPS 1671 - José Correia dos Santos ;CONSTRUÇÃO MATERIAL;2742;;;;;;;;
30/12/2021;NFC-e 20674 - Armazém Machado - Material P/ Serviç;CONSTRUÇÃO MATERIAL;26,83;;;;;;;;
30/12/2021;NFC-e 23803 - Verd.Comercio de Madeira - Terreno G;CONSTRUÇÃO MATERIAL;5316,1;;;;;;;;
30/12/2021;NFS-e 1922 - Tecsolo Sondagens - Terreno Graças;CONSTRUÇÃO MÃO DE OBRA;2699;;;;;;;;
11/01/2022;NFC-e 49403 Posto Pereira - Combustivel P/Serviço ;COMBUSTIVEL;100;;;;;;;;
11/01/2022;NFC-e 69352 EJ Comércio - Combustivel Translado Ca;COMBUSTIVEL;100;;;;;;;;
11/01/2022;NFC-e 6715 Lourinaldo Materiais - Materiais Terren;CONSTRUÇÃO MATERIAL;604;;;;;;;;
11/01/2022;NF-e 202364 - Armazém Coral - Serviço Pintura Casa;CONSTRUÇÃO MATERIAL;275,49;;;;;;;;
31/03/2022;Custo José Galdino - Per. 03/2022;CONSTRUÇÃO MÃO DE OBRA;3393;;;;;;;;
31/03/2022;Pago Fatura Compesa 01/2022 - Terreno Graças;COMPESA;101;;;;;;;;
31/03/2022;Pagto Fatura Compesa 02/2022 - Terreno das Graças ;COMPESA;103,02;;;;;;;;
31/03/2022;NFS-e 121  Projetha Construcoes - erviços Executado;CONSTRUÇÃO MÃO DE OBRA;17000;;;;;;;;
31/03/2022;NFS-e 136-A C P Da Silva Engenharia-1ª Parcela do ;CONSTRUÇÃO MÃO DE OBRA;1750;;;;;;;;
31/03/2022;Pagto DAE 20 Projeto Bombeiro - IASD Graças ;TERRENO;981,58;;;;;;;;
31/03/2022;Pagto Taxa Desmembramento IASD;TERRENO;591,01;;;;;;;;
31/03/2022;Pago Fatura Compesa 02/2022 - Casa 70 - Graças;COMPESA;691,59;;;;;;;;
31/03/2022;NFS-e 52 Bruno Augusto Rufino - Terreno Graças;CONSTRUÇÃO MÃO DE OBRA;2000;;;;;;;;
31/03/2022;NFS-e 52 Bruno Augusto - Instalação Poste Terreno ;CONSTRUÇÃO MÃO DE OBRA;1700;;;;;;;;
31/03/2022;Pago Certidão IASD Graças em 17/03/2022;TERRENO;51,47;;;;;;;;
31/03/2022;Pago Certidão IASD Graças em 17/03/2022;TERRENO;51,47;;;;;;;;
31/03/2022;Pago Certidão IASD Graças em 17/03/2022;TERRENO;28,56;;;;;;;;
31/03/2022;NFS-e 2 - Thiego Eduardo do Amaral - Grades P/Muro;CONSTRUÇÃO MÃO DE OBRA;7000;;;;;;;;
31/03/2022;NF-e 204629 - Armazém Coral - Material P/Pintura C;CONSTRUÇÃO MATERIAL;200,88;;;;;;;;
29/04/2022;4493 - Custo José Galdino 04/2022 - Projeto Edific;CONSTRUÇÃO MÃO DE OBRA;3071,4;;;;;;;;
31/05/2022;4493 - Out. Custo José Galdino 05/2022 - Projeto E;CONSTRUÇÃO MÃO DE OBRA;3929,36;;;;;;;;
31/05/2022;Pago DAM p/ Licença Instação - Terreno Graças;TERRENO;1747,89;;;;;;;;
31/05/2022;Pago Fatura Compesa 03/2022 - Terreno Graças;COMPESA;103,85;;;;;;;;
31/05/2022;NFC-e 6781 - Lourinaldo - Terreno Graças;CONSTRUÇÃO MATERIAL;203,2;;;;;;;;
31/05/2022;NFC-e 1085494 - Ferreira Costa - Terreno Graças;CONSTRUÇÃO MATERIAL;51,9;;;;;;;;
31/05/2022;NFC-e 85041 - Casa do Condominio - Terreno Graças;CONSTRUÇÃO MATERIAL;23;;;;;;;;
